SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,1418 N Lake Shore Dr #23,Chicago,IL,60610,899000,2,2.5,CHI - Near North Side,3150,,1984,3,285,3932,Active,,,http://www.redfin.com/IL/Chicago/1418-N-Lake-Shore-Dr-60610/unit-23/home/14124817,MRED,11244680,N,Y,41.9083359,-87.6263896
MLS Listing,,Condo/Co-op,1150 N Lake Shore Dr Unit 2D,Chicago,IL,60611,249900,1,1.0,CHI - Near North Side,900,,1957,3,278,825,Active,,,http://www.redfin.com/IL/Chicago/1150-N-Lake-Shore-Dr-60611/unit-2D/home/14123395,MRED,11244440,N,Y,41.903695,-87.625372
MLS Listing,,Condo/Co-op,78 E Elm St #2,Chicago,IL,60611,540000,2,2.0,CHI - Near North Side,,,,3,,323,Active,,,http://www.redfin.com/IL/Chicago/78-E-Elm-St-60611/unit-2/home/175119474,MRED,11244239,N,Y,41.903492,-87.625758
MLS Listing,,Condo/Co-op,1150 N Lake Shore Dr Unit 21E,Chicago,IL,60611,265000,1,1.0,CHI - Near North Side,900,,1958,3,294,970,Active,,,http://www.redfin.com/IL/Chicago/1150-N-Lake-Shore-Dr-60611/unit-21E/home/14123382,MRED,11244011,N,Y,41.903695,-87.625372
MLS Listing,,Condo/Co-op,1450 N Astor St Unit 16D,Chicago,IL,60610,425000,2,2.0,CHI - Near North Side,1250,,1971,3,340,746,Active,,,http://www.redfin.com/IL/Chicago/1450-N-Astor-St-60610/unit-16D/home/14126401,MRED,11243921,N,Y,41.9092986,-87.6280835
MLS Listing,,Condo/Co-op,1450 N Astor St Unit 7B,Chicago,IL,60610,379900,2,2.0,CHI - Near North Side,,,1972,4,,703,Active,,,http://www.redfin.com/IL/Chicago/1450-N-Astor-St-60610/unit-7B/home/14125835,MRED,11243739,N,Y,41.9092986,-87.6280835
MLS Listing,,Townhouse,55 W Goethe St #1227,Chicago,IL,60610,1219000,3,2.5,Beekman Place,2400,,1985,4,508,1241,Active,,,http://www.redfin.com/IL/Chicago/55-W-Goethe-St-60610/unit-1227/home/14111576,MRED,11243692,N,Y,41.904767,-87.630878
MLS Listing,,Condo/Co-op,1440 N Lake Shore Dr Unit 20B,Chicago,IL,60610,129999,0,1.0,CHI - Near North Side,,,1965,4,,502,Active,,,http://www.redfin.com/IL/Chicago/1440-N-Lake-Shore-Dr-60610/unit-20B/home/14125371,MRED,11243493,N,Y,41.9089622,-87.6266981
MLS Listing,,Condo/Co-op,229 E Lake Shore Dr Unit 4E,Chicago,IL,60611,2650000,4,3.5,CHI - Near North Side,3500,,1920,4,757,4665,Active,,,http://www.redfin.com/IL/Chicago/229-E-Lake-Shore-Dr-60611/unit-4E/home/176708300,MRED,11243429,N,Y,41.9006181,-87.6205294
MLS Listing,,Condo/Co-op,1439 N Dearborn St #2,Chicago,IL,60610,1525000,3,2.5,CHI - Near North Side,,,1889,7,,450,Active,,,http://www.redfin.com/IL/Chicago/1439-N-Dearborn-St-60610/unit-2/home/14113952,MRED,11242141,N,Y,41.9089219,-87.629754
MLS Listing,,Condo/Co-op,1340 N Dearborn St Unit 14DE,Chicago,IL,60610,435000,2,2.0,CHI - Near North Side,1600,,1969,7,272,774,Active,October-16-2021 01:00 PM,October-16-2021 02:30 PM,http://www.redfin.com/IL/Chicago/1340-N-Dearborn-St-60610/unit-14DE/home/143007224,MRED,11211615,N,Y,41.906948,-87.6304758
MLS Listing,,Condo/Co-op,1445 N State Pkwy #1902,Chicago,IL,60610,334000,3,2.0,CHI - Near North Side,1670,,1958,7,200,1955,Active,,,http://www.redfin.com/IL/Chicago/1445-N-State-Pkwy-60610/unit-1902/home/14126125,MRED,11241460,N,Y,41.9091114,-87.6282751
MLS Listing,,Condo/Co-op,4 E Elm St Unit 14N,Chicago,IL,60611,3335000,4,3.5,CHI - Near North Side,3135,,2016,8,1064,2958,Active,,,http://www.redfin.com/IL/Chicago/4-E-Elm-St-60610/unit-14N/home/104293296,MRED,11241133,N,Y,41.9033068,-87.6284213
MLS Listing,,Condo/Co-op,71 E Division St #1001,Chicago,IL,60610,378750,2,2.0,CHI - Near North Side,1229,,1973,8,308,974,Active,,,http://www.redfin.com/IL/Chicago/71-E-Division-St-60610/unit-1001/home/14122763,MRED,11241007,N,Y,41.9037639,-87.62631
MLS Listing,,Condo/Co-op,1430 N Astor St Unit 13C,Chicago,IL,60610,540000,3,2.5,CHI - Near North Side,1600,,1972,8,338,1872,Active,,,http://www.redfin.com/IL/Chicago/1430-N-Astor-St-60610/unit-13C/home/14127049,MRED,11240956,N,Y,41.9085806,-87.6279494
MLS Listing,,Condo/Co-op,1255 N State Pkwy Unit 7F,Chicago,IL,60610,136000,0,1.0,CHI - Near North Side,550,,1924,8,247,672,Active,,,http://www.redfin.com/IL/Chicago/1255-N-State-Pkwy-60610/unit-7F/home/14124900,MRED,11240733,N,Y,41.905509,-87.6283954
MLS Listing,,Single Family Residential,1360 N State Pkwy,Chicago,IL,60610,2499000,6,3.5,CHI - Near North Side,4561,2461,1878,9,548,,Active,October-16-2021 11:00 AM,October-16-2021 01:00 PM,http://www.redfin.com/IL/Chicago/1360-N-State-Pkwy-60610/home/14113267,MRED,11239813,N,Y,41.907581,-87.629146
MLS Listing,,Condo/Co-op,1325 N State Pkwy Unit 9E,Chicago,IL,60610,490000,2,2.5,CHI - Near North Side,1650,,1963,9,297,1301,Active,October-16-2021 12:00 PM,October-16-2021 02:00 PM,http://www.redfin.com/IL/Chicago/1325-N-State-Pkwy-60610/unit-9E/home/14124658,MRED,11183536,N,Y,41.9064765,-87.6282768
MLS Listing,,Condo/Co-op,20 E Cedar St Unit 14C,Chicago,IL,60611,949000,4,3.0,CHI - Near North Side,3000,,1928,10,316,2257,Active,,,http://www.redfin.com/IL/Chicago/20-E-Cedar-St-60611/unit-14C/home/14123886,MRED,11238204,N,Y,41.902721,-87.6273372
MLS Listing,,Condo/Co-op,1445 N State Pkwy #808,Chicago,IL,60610,195000,1,1.0,CHI - Near North Side,800,,1966,11,244,853,Active,,,http://www.redfin.com/IL/Chicago/1445-N-State-Pkwy-60610/unit-808/home/14125921,MRED,11237722,N,Y,41.9091114,-87.6282751
MLS Listing,,Condo/Co-op,1300 N Astor St Unit 25AS,Chicago,IL,60610,600000,2,2.0,CHI - Near North Side,1550,,1962,11,387,2244,Active,,,http://www.redfin.com/IL/Chicago/1300-N-Astor-St-60610/unit-25AS/home/14125210,MRED,11237614,N,Y,41.9059804,-87.6276829
MLS Listing,,Condo/Co-op,1110 N Lake Shore Dr Unit 7S,Chicago,IL,60611,725000,3,3.0,CHI - Near North Side,2260,,1969,11,321,2487,Active,,,http://www.redfin.com/IL/Chicago/1110-N-Lake-Shore-Dr-60611/unit-7S/home/14123794,MRED,11237610,N,Y,41.902836,-87.625043
MLS Listing,,Condo/Co-op,179 E Lake Shore Dr #603,Chicago,IL,60611,799000,2,2.0,CHI - Near North Side,1435,,1927,11,557,3100,Active,,,http://www.redfin.com/IL/Chicago/179-E-Lake-Shore-Dr-60611/unit-603/home/146002856,MRED,11237447,N,Y,41.9006308,-87.6226581
MLS Listing,,Condo/Co-op,1242 N Lake Shore Dr #26,Chicago,IL,60610,999500,4,3.0,CHI - Near North Side,2500,,1929,11,400,3130,Active,,,http://www.redfin.com/IL/Chicago/1242-N-Lake-Shore-Dr-60610/unit-26/home/19003982,MRED,11236908,N,Y,41.9053146,-87.6254825
