SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,111 E Chestnut St Unit 17F,Chicago,IL,60611,350000,1,1.0,CHI - Near North Side,1000,,1972,35,350,643,Active,,,http://www.redfin.com/IL/Chicago/111-E-Chestnut-St-60611/unit-17F/home/172413687,MRED,11204969,N,Y,41.8978884,-87.6251938
MLS Listing,,Condo/Co-op,111 E Chestnut St Unit 51DG,Chicago,IL,60611,699900,3,2.0,Elysees,1900,,1971,66,368,1274,Active,,,http://www.redfin.com/IL/Chicago/111-E-Chestnut-St-60611/unit-51DG/home/176689002,MRED,11185225,N,Y,41.8978884,-87.6251938
MLS Listing,,Condo/Co-op,132 E Delaware Pl #5602,Chicago,IL,60611,1750000,3,3.0,CHI - Near North Side,2727,,1989,1,642,2604,Active,,,http://www.redfin.com/IL/Chicago/132-E-Delaware-Pl-60611/unit-5602/home/14121287,MRED,11247695,N,Y,41.8994922,-87.6251109
MLS Listing,,Condo/Co-op,800 N Michigan Ave #4102,Chicago,IL,60611,1700000,2,2.5,Park Tower,2150,,2000,1,791,1346,Active,,,http://www.redfin.com/IL/Chicago/800-N-Michigan-Ave-60611/unit-4102/home/12739637,MRED,11247502,N,Y,41.8971181,-87.6255019
MLS Listing,,Condo/Co-op,57 E Delaware Pl #2001,Chicago,IL,60611,489900,1,1.5,CHI - Near North Side,1135,,2000,2,432,857,Active,,,http://www.redfin.com/IL/Chicago/57-E-Delaware-Pl-60611/unit-2001/home/12770902,MRED,11244951,N,Y,41.8989159,-87.6262491
MLS Listing,,Condo/Co-op,57 E Delaware Pl #2601,Chicago,IL,60611,499900,1,1.5,CHI - Near North Side,1145,,2000,3,437,920,Active,,,http://www.redfin.com/IL/Chicago/57-E-Delaware-Pl-60611/unit-2601/home/12769700,MRED,11244482,N,Y,41.8989159,-87.6262491
MLS Listing,,Condo/Co-op,118 E Erie St Unit 26A,Chicago,IL,60611,2295000,2,2.5,CHI - Near North Side,2440,,2013,4,941,3500,Active,,,http://www.redfin.com/IL/Chicago/118-E-Erie-St-60611/unit-26A/home/113099697,MRED,11243545,N,Y,41.8942887,-87.6246388
MLS Listing,,Condo/Co-op,111 E Chestnut St Unit 31DE,Chicago,IL,60611,505000,2,2.0,CHI - Near North Side,,,1971,4,,828,Active,,,http://www.redfin.com/IL/Chicago/111-E-Chestnut-St-60611/unit-31DE/home/176375642,MRED,11243148,N,Y,41.8978884,-87.6251938
MLS Listing,,Condo/Co-op,111 E Chestnut St Unit 23K,Chicago,IL,60611,599000,2,2.0,CHI - Near North Side,1600,,1972,5,374,1116,Active,,,http://www.redfin.com/IL/Chicago/111-E-Chestnut-St-60611/unit-23K/home/175165324,MRED,11242826,N,Y,41.8978884,-87.6251938
MLS Listing,,Condo/Co-op,100 E Walton St Unit 40C,Chicago,IL,60611,249900,1,1.0,CHI - Near North Side,,,1971,8,,563,Active,,,http://www.redfin.com/IL/Chicago/100-E-Walton-St-60611/unit-40C/home/14122791,MRED,11229119,N,Y,41.9002501,-87.6250781
MLS Listing,,Condo/Co-op,950 N Michigan Ave #2203,Chicago,IL,60611,1495000,3,3.5,CHI - Near North Side,,,1983,9,,2405,Active,,,http://www.redfin.com/IL/Chicago/950-N-Michigan-Ave-60611/unit-2203/home/176665794,MRED,11238046,N,Y,41.9003388,-87.6243854
MLS Listing,,Condo/Co-op,100 E Huron St #3505,Chicago,IL,60611,1400000,3,2.5,CHI - Near North Side,2880,,1991,9,486,3045,Active,,,http://www.redfin.com/IL/Chicago/100-E-Huron-St-60611/unit-3505/home/14100154,MRED,11239663,N,Y,41.8953138,-87.624941
MLS Listing,,Condo/Co-op,118 E Erie St Unit 30G,Chicago,IL,60611,1875000,3,2.5,CHI - Near North Side,2874,,2012,10,652,3775,Active,,,http://www.redfin.com/IL/Chicago/118-E-Erie-St-60611/unit-30G/home/113099209,MRED,11238838,N,Y,41.8942887,-87.6246388
MLS Listing,,Condo/Co-op,100 E Walton St Unit 34G,Chicago,IL,60611,195000,1,1.0,CHI - Near North Side,,,1969,10,,586,Active,,,http://www.redfin.com/IL/Chicago/100-E-Walton-St-60611/unit-34G/home/14121315,MRED,11238606,N,Y,41.9002501,-87.6250781
MLS Listing,,Condo/Co-op,118 E Erie St Unit 23D,Chicago,IL,60611,775000,1,1.5,CHI - Near North Side,1423,,2012,10,545,1668,Active,,,http://www.redfin.com/IL/Chicago/118-E-Erie-St-60611/unit-23D/home/113099512,MRED,11238182,N,Y,41.8942887,-87.6246388
MLS Listing,,Condo/Co-op,950 N Michigan Ave #4802,Chicago,IL,60611,1600000,3,4.0,One Magnificent Mile,2175,,1984,10,736,2094,Active,,,http://www.redfin.com/IL/Chicago/950-N-Michigan-Ave-60611/unit-4802/home/175155565,MRED,11238072,N,Y,41.9003388,-87.6243854
MLS Listing,,Condo/Co-op,950 N Michigan Ave #3606,Chicago,IL,60611,1700000,4,4.5,CHI - Near North Side,3000,,1983,14,567,2466,Active,,,http://www.redfin.com/IL/Chicago/950-N-Michigan-Ave-60611/unit-3606/home/176586411,MRED,11235396,N,Y,41.9003388,-87.6243854
MLS Listing,,Condo/Co-op,50 E Chestnut St #701,Chicago,IL,60611,2975000,3,3.5,CHI - Near North Side,3904,,2007,18,762,2947,Active,,,http://www.redfin.com/IL/Chicago/50-E-Chestnut-St-60611/unit-701/home/26811796,MRED,11230873,N,Y,41.8985897,-87.6261037
MLS Listing,,Condo/Co-op,118 E Erie St Unit 27E,Chicago,IL,60611,2295000,2,2.5,CHI - Near North Side,2461,,2012,24,933,3555,Active,,,http://www.redfin.com/IL/Chicago/118-E-Erie-St-60611/unit-27E/home/49742882,MRED,11224987,N,Y,41.8942887,-87.6246388
MLS Listing,,Condo/Co-op,950 N Michigan Ave #2405,Chicago,IL,60611,1250000,2,2.5,One Magnificent Mile,,,1984,30,,1525,Active,,,http://www.redfin.com/IL/Chicago/950-N-Michigan-Ave-60611/unit-2405/home/172253904,MRED,11220176,N,Y,41.9003994,-87.6246803
MLS Listing,,Condo/Co-op,50 E Chestnut St #1401,Chicago,IL,60611,3000000,3,3.5,CHI - Near North Side,3904,,2007,31,768,3088,Active,,,http://www.redfin.com/IL/Chicago/50-E-Chestnut-St-60611/unit-1401/home/26811788,MRED,11218616,N,Y,41.8985897,-87.6261037
MLS Listing,,Condo/Co-op,100 E Walton St Unit 10G,Chicago,IL,60611,175000,0,1.0,CHI - Near North Side,594,,,31,295,569,Active,,,http://www.redfin.com/IL/Chicago/100-E-Walton-St-60611/unit-10G/home/14121735,MRED,11218417,N,Y,41.9002501,-87.6250781
MLS Listing,,Condo/Co-op,100 E Huron St #4002,Chicago,IL,60611,3100000,3,3.5,Chicago Place,4000,,1990,31,775,4728,Active,,,http://www.redfin.com/IL/Chicago/100-E-Huron-St-60611/unit-4002/home/14099753,MRED,11218319,N,Y,41.8953138,-87.624941
MLS Listing,,Condo/Co-op,111 E Chestnut St Unit 22A,Chicago,IL,60611,749000,2,2.0,Elysees,1700,,1972,34,441,1058,Active,,,http://www.redfin.com/IL/Chicago/111-E-Chestnut-St-60611/unit-22A/home/175164016,MRED,11216570,N,Y,41.8978884,-87.6251938
MLS Listing,,Condo/Co-op,77 E Walton St Unit 24B,Chicago,IL,60611,2675000,3,3.5,CHI - Near North Side,3101,,2007,34,863,3706,Active,,,http://www.redfin.com/IL/Chicago/77-E-Walton-St-60611/unit-24B/home/175294247,MRED,11216512,N,Y,41.8996412,-87.6251219
MLS Listing,,Condo/Co-op,111 E Chestnut St Unit 26K,Chicago,IL,60611,650000,2,2.0,CHI - Near North Side,1600,,1972,37,406,1135,Active,,,http://www.redfin.com/IL/Chicago/111-E-Chestnut-St-60611/unit-26K/home/171915999,MRED,11212739,N,Y,41.8978884,-87.6251938
MLS Listing,,Condo/Co-op,800 N Michigan Ave #4403,Chicago,IL,60611,1390000,2,2.5,Park Tower,2000,,2000,38,695,1363,Active,,,http://www.redfin.com/IL/Chicago/800-N-Michigan-Ave-60611/unit-4403/home/12739678,MRED,11211132,N,Y,41.8971181,-87.6255019
MLS Listing,,Condo/Co-op,118 E Erie St Unit 18C,Chicago,IL,60611,1150000,2,2.5,CHI - Near North Side,1912,,2012,38,601,2015,Active,,,http://www.redfin.com/IL/Chicago/118-E-Erie-St-60611/unit-18C/home/113099875,MRED,11211061,N,Y,41.8942887,-87.6246388
MLS Listing,,Condo/Co-op,110 E Delaware Pl #1002,Chicago,IL,60611,334900,1,1.5,CHI - Near North Side,1000,,1987,38,335,810,Active,,,http://www.redfin.com/IL/Chicago/110-E-Delaware-Pl-60611/unit-1002/home/14120853,MRED,11211054,N,Y,41.899393,-87.625666
MLS Listing,,Condo/Co-op,111 E Chestnut St Unit 21C,Chicago,IL,60611,487500,2,2.0,CHI - Near North Side,1425,,1972,38,342,986,Active,,,http://www.redfin.com/IL/Chicago/111-E-Chestnut-St-60611/unit-21C/home/144938414,MRED,11210793,N,Y,41.8978884,-87.6251938
MLS Listing,,Condo/Co-op,950 N Michigan Ave #2406,Chicago,IL,60611,1850000,4,4.0,CHI - Near North Side,3100,,1984,46,597,2338,Active,,,http://www.redfin.com/IL/Chicago/950-N-Michigan-Ave-60611/unit-2406/home/145000407,MRED,11186311,N,Y,41.9003994,-87.6246803
MLS Listing,,Condo/Co-op,57 E Delaware Pl #2201,Chicago,IL,60611,499000,1,1.5,The Bristol,1135,,2000,49,440,869,Active,,,http://www.redfin.com/IL/Chicago/57-E-Delaware-Pl-60611/unit-2201/home/12770171,MRED,11202479,N,Y,41.8989159,-87.6262491
MLS Listing,,Condo/Co-op,111 E Chestnut St Unit 54C,Chicago,IL,60611,570000,2,2.0,CHI - Near North Side,1425,,1972,56,400,1238,Active,,,http://www.redfin.com/IL/Chicago/111-E-Chestnut-St-60611/unit-54C/home/14116725,MRED,11196057,N,Y,41.8978884,-87.6251938
MLS Listing,,Condo/Co-op,100 E Huron St #2205,Chicago,IL,60611,995000,3,3.5,CHI - Near North Side,2880,,1991,57,345,2469,Active,,,http://www.redfin.com/IL/Chicago/100-E-Huron-St-60611/unit-2205/home/14100520,MRED,11194489,N,Y,41.8953138,-87.624941
MLS Listing,,Condo/Co-op,800 N Michigan Ave #5002,Chicago,IL,60611,2000000,3,3.0,CHI - Near North Side,,,2000,58,,1107,Active,,,http://www.redfin.com/IL/Chicago/800-N-Michigan-Ave-60611/unit-5002/home/12739140,MRED,11193851,N,Y,41.8971181,-87.6255019
MLS Listing,,Condo/Co-op,100 E Walton St Unit 25E,Chicago,IL,60611,225000,1,1.0,Walton Colonade,750,,1972,60,300,759,Active,,,http://www.redfin.com/IL/Chicago/100-E-Walton-St-60611/unit-25E/home/14121034,MRED,11190873,N,Y,41.9002501,-87.6250781
MLS Listing,,Condo/Co-op,950 N Michigan Ave #4201,Chicago,IL,60611,425000,1,1.5,One Magnificent Mile,1570,,1983,63,271,1148,Active,,,http://www.redfin.com/IL/Chicago/950-N-Michigan-Ave-60611/unit-4201/home/172708678,MRED,11189202,N,Y,41.900457,-87.624671
MLS Listing,,Condo/Co-op,100 E Huron St #2305,Chicago,IL,60611,1049000,2,3.5,CHI - Near North Side,2880,,1991,64,364,2477,Active,,,http://www.redfin.com/IL/Chicago/100-E-Huron-St-60611/unit-2305/home/14100164,MRED,11187120,N,Y,41.8953138,-87.624941
MLS Listing,,Condo/Co-op,110 E Delaware Pl #702,Chicago,IL,60611,289000,1,1.5,CHI - Near North Side,1000,,1987,64,289,789,Active,,,http://www.redfin.com/IL/Chicago/110-E-Delaware-Pl-60611/unit-702/home/176100929,MRED,11186989,N,Y,41.899393,-87.625666
MLS Listing,,Condo/Co-op,77 E Walton Pl Unit 27E,Chicago,IL,60611,1399000,2,2.0,CHI - Near North Side,1916,,1989,66,730,2242,Active,,,http://www.redfin.com/IL/Chicago/77-E-Walton-St-60611/unit-27E/home/82630291,MRED,11184827,N,Y,41.8996412,-87.6251219
MLS Listing,,Condo/Co-op,100 E Huron St #1701,Chicago,IL,60611,399000,1,1.5,CHI - Near North Side,1026,,1991,67,389,716,Active,,,http://www.redfin.com/IL/Chicago/100-E-Huron-St-60611/unit-1701/home/14099829,MRED,11184036,N,Y,41.8953138,-87.624941
MLS Listing,,Condo/Co-op,100 E Huron St #4703,Chicago,IL,60611,2095000,2,2.5,CHI - Near North Side,4100,,1991,72,511,4793,Active,,,http://www.redfin.com/IL/Chicago/100-E-Huron-St-60611/unit-4703/home/14100421,MRED,11179175,N,Y,41.8953138,-87.624941
MLS Listing,,Condo/Co-op,800 N Michigan Ave #2903,Chicago,IL,60611,1095000,2,2.5,CHI - Near North Side,2052,,2000,82,534,1390,Active,,,http://www.redfin.com/IL/Chicago/800-N-Michigan-Ave-60611/unit-2903/home/12753179,MRED,11167981,N,Y,41.8971181,-87.6255019
MLS Listing,,Condo/Co-op,111 E Chestnut St Unit 29E,Chicago,IL,60611,229900,0,1.0,CHI - Near North Side,,,1972,83,,424,Active,,,http://www.redfin.com/IL/Chicago/111-E-Chestnut-St-60611/unit-29E/home/172718084,MRED,11167773,N,Y,41.8978884,-87.6251938
MLS Listing,,Condo/Co-op,111 E Chestnut St Unit 16K,Chicago,IL,60611,599000,2,2.0,CHI - Near North Side,1600,,1972,84,374,1121,Active,,,http://www.redfin.com/IL/Chicago/111-E-Chestnut-St-60611/unit-16K/home/172790533,MRED,11166456,N,Y,41.8978884,-87.6251938
MLS Listing,,Condo/Co-op,132 E Delaware Pl #5405,Chicago,IL,60611,720000,2,1.5,CHI - Near North Side,1470,,1989,85,490,1159,Active,,,http://www.redfin.com/IL/Chicago/132-E-Delaware-Pl-60611/unit-5405/home/14119834,MRED,11165344,N,Y,41.8994922,-87.6251109
MLS Listing,,Condo/Co-op,132 E Delaware Pl #4806,Chicago,IL,60611,749000,1,1.5,CHI - Near North Side,1147,,1989,91,653,973,Active,,,http://www.redfin.com/IL/Chicago/132-E-Delaware-Pl-60611/unit-4806/home/14120710,MRED,11146080,N,Y,41.8994922,-87.6251109
MLS Listing,,Condo/Co-op,57 E Delaware St #4100,Chicago,IL,60611,5950000,4,3.0,The Bristol,6700,,2000,92,888,5586,Active,,,http://www.redfin.com/IL/Chicago/57-E-Delaware-Pl-60611/unit-4100/home/12770586,MRED,11157468,N,Y,41.8989159,-87.6262491
MLS Listing,,Condo/Co-op,118 E Erie St Unit 32F,Chicago,IL,60611,1150000,2,2.5,CHI - Near North Side,1937,,2012,93,594,2598,Active,,,http://www.redfin.com/IL/Chicago/118-E-Erie-St-60611/unit-32F/home/113099614,MRED,11156078,N,Y,41.8942887,-87.6246388
MLS Listing,,Condo/Co-op,132 E Delaware Pl #5004,Chicago,IL,60611,1049000,2,2.0,Bloomingdales,2058,,1989,98,510,1751,Active,,,http://www.redfin.com/IL/Chicago/132-E-Delaware-Pl-60611/unit-5004/home/14120118,MRED,11150278,N,Y,41.8994922,-87.6251109
MLS Listing,,Condo/Co-op,100 E Huron St #4303,Chicago,IL,60611,1590000,3,2.5,CHI - Near North Side,4100,,1991,99,388,4563,Active,,,http://www.redfin.com/IL/Chicago/100-E-Huron-St-60611/unit-4303/home/14099598,MRED,11149449,N,Y,41.8953138,-87.624941
MLS Listing,,Condo/Co-op,132 E Delaware Pl #6502,Chicago,IL,60611,4250000,3,3.0,CHI - Near North Side,4500,,1989,101,944,4880,Active,,,http://www.redfin.com/IL/Chicago/132-E-Delaware-Pl-60611/unit-6502/home/14119880,MRED,11146303,N,Y,41.8994922,-87.6251109
MLS Listing,,Condo/Co-op,132 E Delaware Pl Unit 6205-07,Chicago,IL,60611,2995000,3,3.5,Bloomingdales,3600,,1989,101,832,3612,Active,,,http://www.redfin.com/IL/Chicago/132-E-Delaware-Pl-60611/unit-6205-07/home/40443834,MRED,11145461,N,Y,41.8996309,-87.6251371
MLS Listing,,Condo/Co-op,118 E Erie St Unit 38L,Chicago,IL,60611,7250000,3,3.5,CHI - Near North Side,,,2012,106,,5989,Active,,,http://www.redfin.com/IL/Chicago/118-E-Erie-St-60611/unit-38L/home/113099599,MRED,11141793,N,Y,41.8942887,-87.6246388
MLS Listing,,Condo/Co-op,77 E Walton St Unit 22B,Chicago,IL,60611,2600000,3,3.5,CHI - Near North Side,3550,,2008,108,732,4198,Active,,,http://www.redfin.com/IL/Chicago/77-E-Walton-St-60611/unit-22B/home/170280287,MRED,11139742,N,Y,41.8996412,-87.6251219
MLS Listing,,Condo/Co-op,111 E Chestnut St Unit 51F,Chicago,IL,60611,385000,1,1.0,CHI - Near North Side,1000,,1972,115,385,787,Active,,,http://www.redfin.com/IL/Chicago/111-E-Chestnut-St-60611/unit-51F/home/14118079,MRED,11132131,N,Y,41.8978884,-87.6251938
MLS Listing,,Condo/Co-op,111 E Chestnut St Unit 16H,Chicago,IL,60611,299900,1,1.0,CHI - Near North Side,1000,,1972,118,300,609,Active,,,http://www.redfin.com/IL/Chicago/111-E-Chestnut-St-60611/unit-16H/home/171915944,MRED,11129570,N,Y,41.8978884,-87.6251938
MLS Listing,,Condo/Co-op,950 N Michigan Ave #4204,Chicago,IL,60611,600000,2,3.5,CHI - Near North Side,1830,,1984,121,328,1451,Active,,,http://www.redfin.com/IL/Chicago/950-N-Michigan-Ave-60611/unit-4204/home/144967725,MRED,11124776,N,Y,41.9003994,-87.6246803
MLS Listing,,Condo/Co-op,118 E Erie St Unit 34EALT,Chicago,IL,60611,2895000,3,2.5,CHI - Near North Side,2750,,2012,127,1053,2886,Active,,,http://www.redfin.com/IL/Chicago/118-E-Erie-St-60611/unit-34EALT/home/160408746,MRED,11117914,N,Y,41.8942887,-87.6246388
MLS Listing,,Condo/Co-op,111 E Chestnut St Unit 50C,Chicago,IL,60611,555000,2,2.0,CHI - Near North Side,1475,,1972,128,376,1263,Active,,,http://www.redfin.com/IL/Chicago/111-E-Chestnut-St-60611/unit-50C/home/173111592,MRED,11116430,N,Y,41.8978884,-87.6251938
MLS Listing,,Condo/Co-op,111 E Chestnut St Unit 57KJ,Chicago,IL,60611,1185000,3,3.0,CHI - Near North Side,2600,,1972,129,456,2282,Active,,,http://www.redfin.com/IL/Chicago/111-E-Chestnut-St-60611/unit-57KJ/home/144957344,MRED,11100506,N,Y,41.8979789,-87.625236
MLS Listing,,Parking,111 E Chestnut St Unit 2B-24,Chicago,IL,60611,34900,,,CHI - Near North Side,,,1972,134,,81,Active,,,http://www.redfin.com/IL/Chicago/111-E-Chestnut-St-60611/unit-2B-24/home/12791625,MRED,11109623,N,Y,41.8978884,-87.6251938
MLS Listing,,Condo/Co-op,111 E Chestnut St Unit 20D,Chicago,IL,60611,295000,1,1.0,CHI - Near North Side,783,,1973,143,377,384,Active,,,http://www.redfin.com/IL/Chicago/111-E-Chestnut-St-60611/unit-20D/home/145011206,MRED,11100480,N,Y,41.8978884,-87.6251938
MLS Listing,,Condo/Co-op,77 E Walton St Unit 24A,Chicago,IL,60611,2950000,3,3.5,CHI - Near North Side,3834,,1989,148,769,4398,Active,,,http://www.redfin.com/IL/Chicago/77-E-Walton-St-60611/unit-24A/home/144942852,MRED,11079282,N,Y,41.8996412,-87.6251219
MLS Listing,,Condo/Co-op,111 E Chestnut St Unit 24C,Chicago,IL,60611,585000,2,1.5,CHI - Near North Side,1450,,1972,149,403,1006,Active,,,http://www.redfin.com/IL/Chicago/111-E-Chestnut-St-60611/unit-24C/home/144987659,MRED,11091670,N,Y,41.8978884,-87.6251938
MLS Listing,,Condo/Co-op,800 N Michigan Ave #4201,Chicago,IL,60611,3950000,3,2.5,CHI - Near North Side,4200,,2006,149,940,3271,Active,,,http://www.redfin.com/IL/Chicago/800-N-Michigan-Ave-60611/unit-4201/home/12739636,MRED,11092784,N,Y,41.8971181,-87.6255019
MLS Listing,,Condo/Co-op,800 N Michigan Ave #2602,Chicago,IL,60611,3500000,3,3.0,Park Tower,3172,,2000,150,1103,1913,Active,,,http://www.redfin.com/IL/Chicago/800-N-Michigan-Ave-60611/unit-2602/home/12739144,MRED,11091613,N,Y,41.8971181,-87.6255019
MLS Listing,,Condo/Co-op,57 E Delaware Pl #3904,Chicago,IL,60611,580000,1,1.5,CHI - Near North Side,1045,,2000,155,555,843,Active,,,http://www.redfin.com/IL/Chicago/57-E-Delaware-Pl-60611/unit-3904/home/12769886,MRED,11086773,N,Y,41.8989159,-87.6262491
MLS Listing,,Condo/Co-op,800 N Michigan Ave #5201,Chicago,IL,60611,4995000,3,3.5,CHI - Near North Side,4200,,2000,157,1189,2863,Active,,,http://www.redfin.com/IL/Chicago/800-N-Michigan-Ave-60611/unit-5201/home/12752850,MRED,11083814,N,Y,41.8971181,-87.6255019
MLS Listing,,Condo/Co-op,800 N Michigan Ave #4601,Chicago,IL,60611,4795000,3,4.5,CHI - Near North Side,5200,,2000,160,922,3621,Active,,,http://www.redfin.com/IL/Chicago/800-N-Michigan-Ave-60611/unit-4601/home/12754008,MRED,11081179,N,Y,41.8971181,-87.6255019
MLS Listing,,Condo/Co-op,111 E Chestnut St Unit 36C,Chicago,IL,60611,510000,2,2.0,CHI - Near North Side,1425,,1972,167,358,1118,Active,,,http://www.redfin.com/IL/Chicago/111-E-Chestnut-St-60611/unit-36C/home/145025745,MRED,11072794,N,Y,41.8978884,-87.6251938
MLS Listing,,Condo/Co-op,950 N Michigan Ave #4904,Chicago,IL,60611,2195000,3,4.5,One Magnificent Mile,5000,,1983,172,439,4990,Active,,,http://www.redfin.com/IL/Chicago/950-N-Michigan-Ave-60611/unit-4904/home/102793569,MRED,11066744,N,Y,41.9003994,-87.6246803
MLS Listing,,Condo/Co-op,111 E Chestnut St Unit 46B,Chicago,IL,60611,300000,1,1.0,CHI - Near North Side,1000,,1972,172,300,596,Active,,,http://www.redfin.com/IL/Chicago/111-E-Chestnut-St-60611/unit-46B/home/175011346,MRED,11066326,N,Y,41.8978884,-87.6251938
MLS Listing,,Condo/Co-op,800 N Michigan Ave #5901,Chicago,IL,60611,5600000,4,4.5,CHI - Near North Side,5200,,2000,176,1077,3551,Active,,,http://www.redfin.com/IL/Chicago/800-N-Michigan-Ave-60611/unit-5901/home/12739964,MRED,11062854,N,Y,41.8971181,-87.6255019
MLS Listing,,Condo/Co-op,100 E Walton St Unit 25F,Chicago,IL,60611,269900,1,1.0,Walton Colonade,,,1972,177,,950,Active,,,http://www.redfin.com/IL/Chicago/100-E-Walton-St-60611/unit-25F/home/14121033,MRED,11061629,N,Y,41.9002501,-87.6250781
MLS Listing,,Condo/Co-op,111 E Chestnut St Unit 25A,Chicago,IL,60611,625000,2,2.0,CHI - Near North Side,1600,,1972,184,391,1046,Active,,,http://www.redfin.com/IL/Chicago/111-E-Chestnut-St-60611/unit-25A/home/174938016,MRED,11052708,N,Y,41.8978884,-87.6251938
MLS Listing,,Condo/Co-op,100 E Huron St #1107,Chicago,IL,60611,599000,1,1.5,CHI - Near North Side,1045,,1991,186,573,774,Active,,,http://www.redfin.com/IL/Chicago/100-E-Huron-St-60611/unit-1107/home/14100276,MRED,11050395,N,Y,41.8953138,-87.624941
