SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Condo/Co-op,444 W Fullerton Pkwy #507,Chicago,IL,60614,245000,1,1.0,CHI - Lincoln Park,850,,1975,1,288,596,Active,October-16-2021 11:00 AM,October-16-2021 01:00 PM,http://www.redfin.com/IL/Chicago/444-W-Fullerton-Pkwy-60614/unit-507/home/12774382,MRED,11246357,N,Y,41.9258117,-87.6410069
MLS Listing,,Condo/Co-op,1735 W Diversey Pkwy #205,Chicago,IL,60614,395000,2,2.0,CHI - Lincoln Park,,,1978,8,,444,Active,,,http://www.redfin.com/IL/Chicago/1735-W-Diversey-Pkwy-60614/unit-205/home/12753592,MRED,11240178,N,Y,41.9321719,-87.6725303
MLS Listing,,Condo/Co-op,2350 N Cleveland Ave Unit 1N,Chicago,IL,60614,375000,2,1.0,Victorian Landmark Condos,1300,,1886,10,288,258,Active,October-16-2021 12:00 PM,October-16-2021 02:00 PM,http://www.redfin.com/IL/Chicago/2350-N-Cleveland-Ave-60614/unit-1N/home/12564134,MRED,11233993,N,Y,41.9251721,-87.6416572
MLS Listing,,Condo/Co-op,2225 N Halsted St Unit G8,Chicago,IL,60614,179900,1,1.0,CHI - Lincoln Park,600,,1892,14,300,268,Active,,,http://www.redfin.com/IL/Chicago/2225-N-Halsted-St-60614/unit-G8/home/13350712,MRED,11235509,N,Y,41.9226585,-87.6483617
MLS Listing,,Condo/Co-op,2020 N Lincoln Park West Ave Unit 38ML,Chicago,IL,60614,849900,2,2.5,CHI - Lincoln Park,1700,,1971,16,500,1775,Active,,,http://www.redfin.com/IL/Chicago/2020-N-Lincoln-Park-W-60614/unit-38ML/home/175821884,MRED,11232858,N,Y,41.9190336,-87.6363484
MLS Listing,,Condo/Co-op,1701 N Sheffield Ave #301,Chicago,IL,60614,250000,2,1.0,CHI - Lincoln Park,888,,1880,18,282,359,Active,,,http://www.redfin.com/IL/Chicago/1701-N-Sheffield-Ave-60614/unit-301/home/144978249,MRED,11230911,N,Y,41.9118761,-87.6528271
MLS Listing,,Condo/Co-op,2474 N Lincoln Ave Unit 2S,Chicago,IL,60614,949900,3,2.0,CHI - Lincoln Park,,,2018,23,,315,Active,October-17-2021 11:00 AM,October-17-2021 01:00 PM,http://www.redfin.com/IL/Chicago/2474-N-Lincoln-Ave-60614/unit-2S/home/145123592,MRED,11218532,N,Y,41.9269577,-87.6512292
MLS Listing,,Condo/Co-op,1951 N Cleveland Ave Unit 2N,Chicago,IL,60614,579000,2,2.0,CHI - Lincoln Park,,,,29,,384,Active,,,http://www.redfin.com/IL/Chicago/1951-N-Cleveland-Ave-60614/unit-2N/home/13345925,MRED,11220726,N,Y,41.9179495,-87.6409698
MLS Listing,,Townhouse,2718 N Southport Ave Unit A,Chicago,IL,60614,845000,4,3.0,CHI - Lincoln Park,2700,,1993,31,313,347,Active,,,http://www.redfin.com/IL/Chicago/2718-N-Southport-Ave-60614/unit-A/home/144942546,MRED,11218367,N,Y,41.931262,-87.663739
MLS Listing,,Condo/Co-op,1735 W Diversey Pkwy #115,Chicago,IL,60614,370000,2,2.0,CHI - Lincoln Park,1250,,1978,37,296,373,Active,,,http://www.redfin.com/IL/Chicago/1735-W-Diversey-Pkwy-60614/unit-115/home/12772262,MRED,11181989,N,Y,41.9321719,-87.6725303
MLS Listing,,Condo/Co-op,1101 W Armitage Ave #208,Chicago,IL,60614,724900,2,2.5,CHI - Lincoln Park,1800,,1929,45,403,458,Active,October-16-2021 12:00 PM,October-16-2021 02:00 PM,http://www.redfin.com/IL/Chicago/1101-W-Armitage-Ave-60614/unit-208/home/13351806,MRED,11205005,N,Y,41.9178637,-87.6557605
MLS Listing,,Condo/Co-op,444 W Fullerton Pkwy #404,Chicago,IL,60614,319900,2,1.5,CHI - Lincoln Park,,,1975,77,,1010,Active,,,http://www.redfin.com/IL/Chicago/444-W-Fullerton-Pkwy-60614/unit-404/home/12773169,MRED,11173972,N,Y,41.9258117,-87.6410069
MLS Listing,,Condo/Co-op,2626 N Lakeview Ave #212,Chicago,IL,60614,339000,2,2.0,CHI - Lincoln Park,,,1968,92,,1038,Active,,,http://www.redfin.com/IL/Chicago/2626-N-Lakeview-Ave-60614/unit-212/home/13367023,MRED,11148803,N,Y,41.930388,-87.639456
MLS Listing,,Single Family Residential,2325 N Halsted St,Chicago,IL,60614,895000,3,4.0,CHI - Lincoln Park,3000,1176,1891,116,298,,Active,,,http://www.redfin.com/IL/Chicago/2325-N-Halsted-St-60614/home/144509850,MRED,11108687,N,Y,41.924373,-87.648469
MLS Listing,,Townhouse,2675 N Greenview Ave Unit F,Chicago,IL,60614,785000,3,3.0,Tamerlane,2155,,1994,1,364,235,Active,October-17-2021 12:00 PM,October-17-2021 02:00 PM,http://www.redfin.com/IL/Chicago/2675-N-Greenview-Ave-60614/unit-F/home/13363290,MRED,11235590,N,Y,41.9307157,-87.665068
MLS Listing,,Vacant Land,1965 N Burling St,Chicago,IL,60614,1950000,,,CHI - Lincoln Park,,3049,,1,,,Active,,,http://www.redfin.com/IL/Chicago/1965-N-Burling-St-60614/home/13346992,MRED,11247814,N,Y,41.9178759,-87.647043
MLS Listing,,Condo/Co-op,1122 W Armitage Ave #401,Chicago,IL,60614,639000,2,2.0,CHI - Lincoln Park,1650,,1995,1,387,392,Active,October-17-2021 12:00 PM,October-17-2021 01:30 PM,http://www.redfin.com/IL/Chicago/1122-W-Armitage-Ave-60614/unit-401/home/13352598,MRED,11247607,N,Y,41.9183338,-87.6564048
MLS Listing,,Townhouse,1617 N Larrabee St,Chicago,IL,60614,675000,3,3.0,Larrabee Commons,2200,,1990,1,307,489,Active,October-16-2021 12:00 PM,October-16-2021 02:00 PM,http://www.redfin.com/IL/Chicago/1617-N-Larrabee-St-60614/home/13345405,MRED,11247326,N,Y,41.9116703,-87.6428857
MLS Listing,,Condo/Co-op,924 W Fullerton Ave #1,Chicago,IL,60614,699900,3,3.0,Lincoln Park 2520,2400,,1891,1,292,195,Active,,,http://www.redfin.com/IL/Chicago/924-W-Fullerton-Ave-60614/unit-1/home/12585060,MRED,11247330,N,Y,41.9256626,-87.6522749
MLS Listing,,Condo/Co-op,2728 N Hampden Ct #1704,Chicago,IL,60614,142995,0,1.0,Hampden Green,,,1970,1,,339,Active,,,http://www.redfin.com/IL/Chicago/2728-N-Hampden-Ct-60614/unit-1704/home/13368119,MRED,11246991,N,Y,41.9310983,-87.6426204
MLS Listing,,Condo/Co-op,235 W Eugenie St Unit T2,Chicago,IL,60614,499000,2,1.5,CHI - Lincoln Park,1350,,1962,1,370,334,Active,,,http://www.redfin.com/IL/Chicago/235-W-Eugenie-St-60614/unit-T2/home/13344190,MRED,11246417,N,Y,41.912609,-87.636362
MLS Listing,,Condo/Co-op,350 W Belden Ave #408,Chicago,IL,60614,375000,2,2.0,Belden Centre,1200,,1991,1,313,691,Active,,,http://www.redfin.com/IL/Chicago/350-W-Belden-Ave-60614/unit-408/home/167584991,MRED,11246409,N,Y,41.9242493,-87.6388432
MLS Listing,,Condo/Co-op,2000 N Lincoln Park West St #314,Chicago,IL,60614,225000,1,1.0,CHI - Lincoln Park,950,,1931,1,237,725,Active,,,http://www.redfin.com/IL/Chicago/2000-N-Lincoln-Park-W-60614/unit-314/home/12663639,MRED,11246341,N,Y,41.9199016,-87.6365672
MLS Listing,,Condo/Co-op,2215 N Bissell St Unit 2A,Chicago,IL,60614,285000,1,1.0,Depaul,,,1925,1,,119,Active,,,http://www.redfin.com/IL/Chicago/2215-N-Bissell-St-60614/unit-2A/home/12726373,MRED,11246272,N,Y,41.9222536,-87.6520075
MLS Listing,,Condo/Co-op,644 W Arlington Pl Unit 2G,Chicago,IL,60614,185000,1,1.0,CHI - Lincoln Park,,,1972,1,,362,Active,,,http://www.redfin.com/IL/Chicago/644-W-Arlington-Pl-60614/unit-2G/home/13367518,MRED,11246220,N,Y,41.9269784,-87.6457025
MLS Listing,,Single Family Residential,1444 W Altgeld St,Chicago,IL,60614,1495000,4,3.5,CHI - Lincoln Park,,3123,1986,1,,,Active,October-16-2021 01:00 PM,October-16-2021 03:00 PM,http://www.redfin.com/IL/Chicago/1444-W-Altgeld-St-60614/home/13362500,MRED,11246047,N,Y,41.9272405,-87.6651063
MLS Listing,,Condo/Co-op,2237 N Clybourn Ave #2,Chicago,IL,60614,475000,2,2.0,CHI - Lincoln Park,1400,,2007,2,339,138,Active,,,http://www.redfin.com/IL/Chicago/2237-N-Clybourn-Ave-60614/unit-2/home/26810148,MRED,11245848,N,Y,41.9224788,-87.6651756
MLS Listing,,Condo/Co-op,836 W Fullerton Ave Unit 1E,Chicago,IL,60614,799900,4,3.0,CHI - Lincoln Park,3000,,1999,2,267,292,Active,,,http://www.redfin.com/IL/Chicago/836-W-Fullerton-Ave-60614/unit-1E/home/12771632,MRED,11245539,N,Y,41.925605252,-87.65035098
MLS Listing,,Condo/Co-op,2020 N Burling St #303,Chicago,IL,60614,275000,1,1.0,Burling on the Park,,,1931,2,,339,Active,October-16-2021 01:30 PM,October-16-2021 03:00 PM,http://www.redfin.com/IL/Chicago/2020-N-Burling-St-60614/unit-303/home/13349657,MRED,11239835,N,Y,41.918847,-87.647745
MLS Listing,,Condo/Co-op,1555 W Montana St Unit 4N,Chicago,IL,60614,1450000,3,2.0,CHI - Lincoln Park,2400,,2005,2,604,495,Active,,,http://www.redfin.com/IL/Chicago/1555-W-Montana-St-60614/unit-4N/home/12621623,MRED,11245506,N,Y,41.925884,-87.6678245
